,source,start,end,duration,value,unit,sub_children
0,Noah’s Apple Watch,2023-07-01 19:00:00 -0400,2023-07-01 20:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourStood,,[]
1,Noah’s Apple Watch,2023-07-01 20:00:00 -0400,2023-07-01 21:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourStood,,[]
2,Noah’s Apple Watch,2023-07-01 21:00:00 -0400,2023-07-01 22:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourStood,,[]
3,Noah’s Apple Watch,2023-07-01 22:00:00 -0400,2023-07-01 23:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourStood,,[]
4,Noah’s Apple Watch,2023-07-01 23:00:00 -0400,2023-07-02 00:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourStood,,[]
5,Noah’s Apple Watch,2023-07-02 01:00:00 -0400,2023-07-02 02:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
6,Noah’s Apple Watch,2023-07-02 02:00:00 -0400,2023-07-02 03:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
7,Noah’s Apple Watch,2023-07-02 03:00:00 -0400,2023-07-02 04:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
8,Noah’s Apple Watch,2023-07-02 04:00:00 -0400,2023-07-02 05:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
9,Noah’s Apple Watch,2023-07-02 05:00:00 -0400,2023-07-02 06:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
10,Noah’s Apple Watch,2023-07-02 06:00:00 -0400,2023-07-02 07:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
11,Noah’s Apple Watch,2023-07-02 07:00:00 -0400,2023-07-02 08:00:00 -0400,-1 days +23:00:00,HKCategoryValueAppleStandHourIdle,,[]
