,source,start,end,duration,value,unit,sub_children
0,Noah’s Apple Watch,2023-07-01 19:03:56 -0400,2023-07-01 21:06:57 -0400,-1 days +21:56:59,75,count/min,[]
1,Noah’s Apple Watch,2023-07-02 01:50:50 -0400,2023-07-02 23:54:12 -0400,-1 days +01:56:38,48,count/min,[]
2,Noah’s Apple Watch,2023-07-03 00:02:31 -0400,2023-07-03 13:43:34 -0400,-1 days +10:18:57,54,count/min,[]
3,Noah’s Apple Watch,2023-07-04 01:56:11 -0400,2023-07-04 09:11:16 -0400,-1 days +16:44:55,45,count/min,[]
4,Noah’s Apple Watch,2023-07-05 04:45:08 -0400,2023-07-05 23:12:48 -0400,-1 days +05:32:20,55,count/min,[]
5,Noah’s Apple Watch,2023-07-06 00:01:29 -0400,2023-07-06 14:33:07 -0400,-1 days +09:28:22,54,count/min,[]
6,Noah’s Apple Watch,2023-07-07 00:15:58 -0400,2023-07-07 19:21:40 -0400,-1 days +04:54:18,65,count/min,[]
7,Noah’s Apple Watch,2023-07-08 02:49:57 -0400,2023-07-08 21:22:15 -0400,-1 days +05:27:42,54,count/min,[]
8,Noah’s Apple Watch,2023-07-09 00:59:52 -0400,2023-07-09 18:01:15 -0400,-1 days +06:58:37,60,count/min,[]
9,Noah’s Apple Watch,2023-07-10 00:00:48 -0400,2023-07-10 12:27:00 -0400,-1 days +11:33:48,57,count/min,[]
10,Noah’s Apple Watch,2023-07-12 01:15:55 -0400,2023-07-12 19:16:47 -0400,-1 days +05:59:08,63,count/min,[]
11,Noah’s Apple Watch,2023-07-11 00:02:02 -0400,2023-07-11 22:51:55 -0400,-1 days +01:10:07,60,count/min,[]
12,Noah’s Apple Watch,2023-07-13 00:00:09 -0400,2023-07-13 23:20:09 -0400,-1 days +00:40:00,61,count/min,[]
13,Noah’s Apple Watch,2023-07-14 00:03:36 -0400,2023-07-14 09:09:00 -0400,-1 days +14:54:36,51,count/min,[]
14,Noah’s Apple Watch,2023-07-15 00:01:55 -0400,2023-07-15 10:38:22 -0400,-1 days +13:23:33,49,count/min,[]
15,Noah’s Apple Watch,2023-07-16 01:19:06 -0400,2023-07-16 19:18:19 -0400,-1 days +06:00:47,55,count/min,[]
16,Noah’s Apple Watch,2023-07-17 00:00:57 -0400,2023-07-17 23:58:17 -0400,-1 days +00:02:40,54,count/min,[]
17,Noah’s Apple Watch,2023-07-18 00:09:41 -0400,2023-07-18 22:50:50 -0400,-1 days +01:18:51,59,count/min,[]
18,Noah’s Apple Watch,2023-07-19 00:02:18 -0400,2023-07-19 17:31:17 -0400,-1 days +06:31:01,67,count/min,[]
19,Noah’s Apple Watch,2023-07-20 00:26:48 -0400,2023-07-20 12:22:01 -0400,-1 days +12:04:47,60,count/min,[]
20,Noah’s Apple Watch,2023-07-21 00:18:57 -0400,2023-07-21 03:25:51 -0400,-1 days +20:53:06,50,count/min,[]
21,Noah’s Apple Watch,2023-07-22 00:05:53 -0400,2023-07-22 18:56:30 -0400,-1 days +05:09:23,54,count/min,[]
22,Noah’s Apple Watch,2023-07-23 00:01:19 -0400,2023-07-23 11:30:20 -0400,-1 days +12:30:59,51,count/min,[]
