,source,start,end,duration,value,unit,sub_children
0,Noah’s Apple Watch,2023-07-30 21:16:19 -0400,2023-07-30 21:31:16 -0400,-1 days +23:45:03,235.639,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:F985215A-6E6D-49EC-8894-478D6A9EB10C:712458979.60509:712459876.95115:119'}]"
1,Noah’s Apple Watch,2023-07-30 21:31:22 -0400,2023-07-30 21:35:03 -0400,-1 days +23:56:19,246.472,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:F985215A-6E6D-49EC-8894-478D6A9EB10C:712459882.09329:712460103.20569:36'}]"
2,Noah’s Apple Watch,2023-08-07 20:29:36 -0400,2023-08-07 20:39:58 -0400,-1 days +23:49:38,224.429,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:3D3E1CF3-B67F-43C7-843C-C316990C5D2A:713147376.78750:713147998.96545:119'}]"
3,Noah’s Apple Watch,2023-08-07 20:40:04 -0400,2023-08-07 20:50:51 -0400,-1 days +23:49:13,220.717,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:3D3E1CF3-B67F-43C7-843C-C316990C5D2A:713148004.10713:713148651.96098:113'}]"
4,Noah’s Apple Watch,2023-08-14 18:01:34 -0400,2023-08-14 18:14:54 -0400,-1 days +23:46:40,225.084,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:9B04050E-7AB3-4D2A-B28E-B31EEA59C182:713743294.63214:713744094.23052:119'}]"
5,Noah’s Apple Watch,2023-08-14 18:14:59 -0400,2023-08-14 18:26:20 -0400,-1 days +23:48:39,220.244,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:9B04050E-7AB3-4D2A-B28E-B31EEA59C182:713744099.37250:713744780.68126:119'}]"
6,Noah’s Apple Watch,2023-08-14 18:26:25 -0400,2023-08-14 18:30:12 -0400,-1 days +23:56:13,214.614,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:9B04050E-7AB3-4D2A-B28E-B31EEA59C182:713744785.82299:713745012.06067:44'}]"
7,Noah’s Apple Watch,2023-08-20 18:28:40 -0400,2023-08-20 18:35:42 -0400,-1 days +23:52:58,216.178,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:1FC282A0-2F9D-43E8-8893-52DEB1D27AA1:714263320.64119:714263742.28371:73'}]"
8,Noah’s Apple Watch,2023-09-20 22:38:13 -0400,2023-09-20 23:00:02 -0400,-1 days +23:38:11,221.09,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:59F56A9F-0636-435E-9AAA-81150F125AB9:716956693.89495:716958002.53756:134'}]"
9,Noah’s Apple Watch,2023-10-26 20:22:49 -0400,2023-10-26 20:33:01 -0400,-1 days +23:49:48,215.202,ms,"[{'key': 'HKMetadataKeySyncVersion', 'value': '1'}, {'key': 'HKMetadataKeySyncIdentifier', 'value': '3:A383EA56-E3AE-4EC7-99B1-78F2D1780A81:720058969.33694:720059581.24478:119'}]"
