,source,start,end,duration,value,unit,sub_children
0,Noah’s Apple Watch,2023-07-01 19:00:17 -0400,2023-07-01 19:30:07 -0400,-1 days +23:30:10,74.8737,dBASPL,[]
1,Noah’s Apple Watch,2023-07-01 19:30:07 -0400,2023-07-01 20:00:07 -0400,-1 days +23:30:00,77.4572,dBASPL,[]
2,Noah’s Apple Watch,2023-07-01 20:00:07 -0400,2023-07-01 20:30:07 -0400,-1 days +23:30:00,77.3078,dBASPL,[]
3,Noah’s Apple Watch,2023-07-01 20:30:07 -0400,2023-07-01 21:00:07 -0400,-1 days +23:30:00,77.2497,dBASPL,[]
4,Noah’s Apple Watch,2023-07-01 21:00:07 -0400,2023-07-01 21:29:57 -0400,-1 days +23:30:10,75.0574,dBASPL,[]
5,Noah’s Apple Watch,2023-07-01 21:29:57 -0400,2023-07-01 21:59:57 -0400,-1 days +23:30:00,75.4149,dBASPL,[]
6,Noah’s Apple Watch,2023-07-01 21:59:57 -0400,2023-07-01 22:29:57 -0400,-1 days +23:30:00,67.2315,dBASPL,[]
7,Noah’s Apple Watch,2023-07-01 22:29:57 -0400,2023-07-01 22:59:47 -0400,-1 days +23:30:10,65.017,dBASPL,[]
8,Noah’s Apple Watch,2023-07-01 22:59:47 -0400,2023-07-01 23:29:47 -0400,-1 days +23:30:00,71.5998,dBASPL,[]
9,Noah’s Apple Watch,2023-07-01 23:29:47 -0400,2023-07-01 23:32:57 -0400,-1 days +23:56:50,71.7038,dBASPL,[]
10,Noah’s Apple Watch,2023-07-02 01:45:55 -0400,2023-07-02 02:15:55 -0400,-1 days +23:30:00,62.539,dBASPL,[]
11,Noah’s Apple Watch,2023-07-02 02:15:55 -0400,2023-07-02 02:45:55 -0400,-1 days +23:30:00,59.7881,dBASPL,[]
12,Noah’s Apple Watch,2023-07-02 02:45:55 -0400,2023-07-02 03:15:55 -0400,-1 days +23:30:00,60.1104,dBASPL,[]
13,Noah’s Apple Watch,2023-07-02 03:15:55 -0400,2023-07-02 03:45:55 -0400,-1 days +23:30:00,61.5773,dBASPL,[]
14,Noah’s Apple Watch,2023-07-02 03:45:55 -0400,2023-07-02 04:15:55 -0400,-1 days +23:30:00,62.1087,dBASPL,[]
15,Noah’s Apple Watch,2023-07-02 04:15:55 -0400,2023-07-02 04:45:55 -0400,-1 days +23:30:00,61.3028,dBASPL,[]
16,Noah’s Apple Watch,2023-07-02 04:45:55 -0400,2023-07-02 05:15:55 -0400,-1 days +23:30:00,61.6024,dBASPL,[]
17,Noah’s Apple Watch,2023-07-02 05:15:55 -0400,2023-07-02 05:45:55 -0400,-1 days +23:30:00,60.74,dBASPL,[]
18,Noah’s Apple Watch,2023-07-02 05:45:55 -0400,2023-07-02 06:15:55 -0400,-1 days +23:30:00,59.8806,dBASPL,[]
19,Noah’s Apple Watch,2023-07-02 06:15:55 -0400,2023-07-02 06:45:55 -0400,-1 days +23:30:00,58.18,dBASPL,[]
20,Noah’s Apple Watch,2023-07-02 06:45:55 -0400,2023-07-02 07:15:55 -0400,-1 days +23:30:00,58.5973,dBASPL,[]
21,Noah’s Apple Watch,2023-07-02 07:15:55 -0400,2023-07-02 07:45:55 -0400,-1 days +23:30:00,59.4577,dBASPL,[]
22,Noah’s Apple Watch,2023-07-02 07:45:55 -0400,2023-07-02 08:15:55 -0400,-1 days +23:30:00,59.9509,dBASPL,[]
23,Noah’s Apple Watch,2023-07-02 08:15:55 -0400,2023-07-02 08:45:55 -0400,-1 days +23:30:00,59.9854,dBASPL,[]
24,Noah’s Apple Watch,2023-07-02 08:45:55 -0400,2023-07-02 09:15:55 -0400,-1 days +23:30:00,65.0001,dBASPL,[]
